,LST,flaeche,buildup,imprevious,DGM,NDVI
451,33.25865088500001,99.7376225970898,0.0,46.0,352.52801513671875,0.5151177048683167
452,39.25119950500007,63.33835000252211,1.0,100.0,288.8730163574219,0.0631376057863235
457,35.12147178500001,57.94853100289848,1.0,75.0,290.04400634765625,0.4203779697418213
462,35.073809395000026,29.277810697206743,0.0,86.0,291.72027587890625,0.4450687766075134
474,36.70031219000002,62.88346794947163,0.0,24.0,283.00225830078125,0.5237881541252136
479,33.16522500500002,61.348163588721015,0.0,32.0,358.6620178222656,0.5934022665023804
489,35.02301382000001,311.7023547278534,0.0,37.0,283.8697509765625,0.4427179098129272
493,39.793525345000006,104.50005354897496,1.0,100.0,289.92999267578125,0.1280428767204284
494,32.55510843500002,0.2101096004168406,0.0,10.0,290.1362609863281,0.6807678937911987
497,34.54980794000002,0.4287659996414706,0.0,39.0,311.8547668457031,0.5747935771942139
499,32.161181630000016,62.29661369811586,0.0,34.0,330.7530212402344,0.6612168550491333
500,33.99324035000002,156.85362843940177,1.0,66.0,297.6597595214844,0.4892457723617553
508,35.17046340500004,88.06443634687307,0.0,35.0,322.95977783203125,0.5695720314979553
514,30.898697965000014,21.182837493155663,0.0,3.0,287.291015625,0.6868433952331543
517,32.96546072499999,89.06020040276285,0.0,24.0,317.4520263671875,0.6627122163772583
522,33.91462589,0.2817750000394881,0.0,0.0,307.0195007324219,0.6463273763656616
524,34.69051643000002,156.12399900030672,1.0,43.0,299.38427734375,0.551937997341156
525,32.41525445000001,4.303898820812304,0.0,4.0,345.50750732421875,0.6388617157936096
529,33.59589552500002,13.644707475849536,0.0,55.0,429.5387573242188,0.4654927253723144
534,34.09663545500004,186.65155100779177,1.0,79.0,289.81524658203125,0.5806712508201599
541,31.05545216000003,8.78160599830221,0.0,0.0,355.5165100097656,0.7159270644187927
544,36.84899606000004,58.43403240834661,1.0,86.0,291.2797546386719,0.2379280924797058
562,35.615945345,78.81393855165773,0.0,35.0,288.2342529296875,0.5850614309310913
565,32.62593740500003,98.80058115505956,1.0,34.0,322.4112548828125,0.5606732368469238
575,31.15960682500001,248.688884495813,1.0,34.0,328.1085205078125,0.4989422261714935
576,35.50998672500003,92.0982535493537,1.0,41.0,289.8130187988281,0.5267072319984436
582,33.26947461500002,134.02903120584608,1.0,49.0,337.728515625,0.479144811630249
591,33.76936004000001,84.15230090314881,0.0,0.0,345.29327392578125,0.5529662370681763
594,36.08962595000003,91.88066980182458,0.0,46.0,296.08551025390625,0.4087952673435211
595,35.42054853500004,107.56970004745486,0.0,47.0,296.8912658691406,0.3914119303226471
597,35.28211872500002,9.032863696704956,0.0,40.0,321.3497619628906,0.5652447938919067
600,35.339655394999994,59.30606965231901,1.0,91.0,287.28326416015625,0.3294636011123657
608,33.52838963000001,107.95200764501486,0.0,0.0,353.8230285644531,0.5469328761100769
612,38.73232508000002,240.2904972517624,1.0,87.0,287.72625732421875,0.3029197752475738
618,33.03676442,61.605421549364216,0.0,18.0,291.8187561035156,0.6003490686416626
623,34.08410271500005,47.117434091534506,1.0,83.0,310.6005249023437,0.4227290153503418
625,31.260533360000025,9.156409001982755,0.0,29.0,351.4977722167969,0.6753650307655334
630,36.648187385000014,271.1315053584478,1.0,91.0,294.3942565917969,0.3774247467517853
632,27.45133996000001,17.28867798643385,0.0,0.0,333.4202575683594,0.684316098690033
634,33.323688210000014,82.28345304603724,1.0,70.0,340.2997741699219,0.5346173048019409
640,37.85788163,169.80701415162207,1.0,100.0,292.8340148925781,0.2927602529525757
642,32.55482360000002,46.444178350191045,0.0,17.0,307.6857604980469,0.6758376359939575
645,36.16795557500001,197.0953501131501,1.0,92.0,295.44952392578125,0.3295190334320068
646,33.94339422500001,32.86607772324741,1.0,40.0,325.4335327148437,0.639276921749115
649,38.89904850000003,400.0,1.0,100.0,289.3940124511719,0.1479252129793167
652,37.956149705000016,280.5153221627319,1.0,100.0,289.93927001953125,0.0941191464662551
658,34.07736162000004,16.634291192468396,1.0,82.0,337.405517578125,0.4159724414348602
660,40.244134315,21.90102743948805,1.0,100.0,295.22100830078125,0.2265863120555877
665,32.85646386500002,61.46105680662808,1.0,41.0,315.5762634277344,0.6354413032531738
667,37.04439287000001,162.96516094478375,1.0,94.0,294.74176025390625,0.3846181333065033
680,34.113630610000044,123.23267081852026,1.0,41.0,340.20977783203125,0.441393494606018
681,38.11091005500003,53.57150629886436,1.0,100.0,290.68878173828125,0.252170979976654
684,34.57829144000003,68.0219424993621,0.0,26.0,303.7402648925781,0.5693433880805969
696,33.67574427000004,120.30718474221268,0.0,29.0,337.0245056152344,0.535283088684082
705,40.614229925000046,56.184307590773614,1.0,100.0,288.5870056152344,0.09053735435009
708,33.372015215000005,63.650167780349015,1.0,66.0,340.01727294921875,0.5456104874610901
710,33.02166816500001,115.63760689201644,0.0,47.0,283.8740234375,0.6176062822341919
711,37.23903012,141.39744254922613,1.0,100.0,298.9642639160156,0.3512523472309112
718,35.67281740000003,142.9452208498701,0.0,28.0,294.385009765625,0.6109524369239807
722,33.40885387500005,292.5679999962449,1.0,79.0,335.05352783203125,0.0874946564435958
723,35.515113755000016,42.48156795177624,0.0,22.0,289.20574951171875,0.5269946455955505
731,35.13485903,134.91400200095387,0.0,59.0,353.6747436523437,0.3258644342422485
732,35.06222610500002,71.40956664411135,1.0,93.0,284.8547668457031,0.2375996112823486
734,33.665964935000034,34.49052649981162,0.0,0.0,333.0565185546875,0.6783316135406494
737,36.877194725,167.27967219260756,1.0,73.0,292.3582763671875,0.4295319318771362
750,37.61520221000003,143.68528200264456,1.0,100.0,288.6922607421875,0.162561610341072
751,34.40596626500003,66.5378372756033,0.0,40.0,366.75775146484375,0.4418928325176239
753,38.128190045000025,350.54647421442274,1.0,100.0,297.58251953125,0.1425424665212631
756,33.60197200499999,114.3127380922619,0.0,33.0,322.2490234375,0.6289032101631165
761,35.93344142500005,42.9514615492245,1.0,100.0,289.4852600097656,0.0552289858460426
766,32.67644814500001,3.663298797450949,0.0,3.0,314.2220153808594,0.7757660746574402
775,34.77197924000001,23.07211810352093,0.0,47.0,342.3255310058594,0.4967189431190491
776,34.34216322500004,0.0942637499141693,1.0,64.0,314.7962646484375,0.5962634086608887
777,28.944824810000014,77.09420199183319,0.0,0.0,365.7025146484375,0.6432978510856628
781,33.475125485000014,33.78196550434798,0.0,17.0,290.12225341796875,0.5225979089736938
789,35.417415350000034,90.92579900246592,0.0,20.0,320.3477783203125,0.5012066960334778
792,33.02147827500002,138.4222193527711,0.0,30.0,305.6125183105469,0.6662299633026123
794,34.493790389999994,81.96888874525163,0.0,35.0,282.5567626953125,0.5527285933494568
798,36.15380877000003,64.08086189792863,0.0,22.0,288.60650634765625,0.6415489912033081
801,33.849018895,69.85040454544891,1.0,100.0,288.3155212402344,0.3338965475559234
811,33.695397885000055,10.779505051539548,0.0,10.0,349.16827392578125,0.6269989013671875
812,33.996753315,171.32932945195412,0.0,15.0,346.1435241699219,0.6228165626525879
822,35.461944555000024,27.505798851853974,0.0,86.0,286.6495361328125,0.2428800910711288
828,31.536253640000005,277.54188934025126,1.0,97.0,334.4690246582031,0.4746177494525909
830,31.63081886000004,30.90353640121576,0.0,17.0,317.227783203125,0.6849964261054993
832,31.679525644999988,70.49857559563351,0.0,36.0,390.8165283203125,0.586631178855896
836,32.923400090000015,59.66489950053302,1.0,33.0,363.08251953125,0.6586196422576904
838,34.04944779000002,24.05571109936145,0.0,33.0,295.1462707519531,0.5401715040206909
839,34.398275720000015,98.08989484317964,0.0,70.0,340.9970092773437,0.4505552649497986
840,36.44842310500003,0.195146600079631,0.0,28.0,301.4627685546875,0.6100539565086365
849,35.107135090000014,11.426854759732851,0.0,33.0,322.4327697753906,0.5437508821487427
854,37.05578627000003,134.5333323534731,1.0,84.0,295.291015625,0.4485955536365509
855,34.61788350500002,95.15055365314478,0.0,51.0,363.4585266113281,0.5086438059806824
864,31.529797380000023,23.384409799689635,1.0,64.0,305.53277587890625,0.5803844928741455
866,34.62471954500003,122.49206319616466,1.0,39.0,323.145263671875,0.5759278535842896
869,33.955926965000025,38.31563700144003,1.0,82.0,302.28253173828125,0.5168816447257996
872,35.24252666000002,191.43817759543765,0.0,35.0,346.1670227050781,0.5565419793128967
874,34.77976472999998,6.524236552719244,0.0,65.0,298.4720153808594,0.5203261375427246
880,33.534371165000024,13.698580247277135,0.0,54.0,324.41802978515625,0.5263903141021729
884,34.49739830000003,240.98035494114,1.0,59.0,344.69952392578125,0.7081528306007385
894,36.659485840000016,46.28714160381148,1.0,100.0,289.97125244140625,0.3304576277732849
899,34.881735660000054,82.64533719544252,0.0,22.0,298.77801513671875,0.5751051306724548
903,33.61156144999999,46.68663194667476,0.0,22.0,296.583251953125,0.4750415682792663
906,35.15242385500003,104.96895780077156,0.0,28.0,284.0767822265625,0.5343967080116272
908,35.71164990500001,206.1780000012368,1.0,100.0,286.769775390625,0.1967064142227172
912,34.56490419500001,80.35883569421868,1.0,44.0,319.4797668457031,0.5904220342636108
913,34.55379563,157.25902649667822,0.0,30.0,330.978271484375,0.4895965754985809
915,35.31174156500002,0.3948462898360258,1.0,56.0,286.47100830078125,0.449582576751709
917,34.687098410000026,3.1686575488176,0.0,34.0,341.1595153808594,0.4315206110477447
924,33.64574165000002,28.948190004717688,0.0,6.0,352.0147705078125,0.6543229222297668
928,33.52611095000001,37.56378209807318,1.0,84.0,314.884033203125,0.4785795509815216
930,32.95843479500002,13.426067249025673,1.0,57.0,369.2227783203125,0.6064046025276184
935,33.519939525000034,2.9540387250041267,0.0,14.0,345.5815124511719,0.4896617233753204
937,34.281208535000005,2.161086899639334,0.0,8.0,283.5567626953125,0.6055546998977661
942,33.33489172000003,62.40223899777669,1.0,77.0,328.6302490234375,0.5300914645195007
944,32.614069280000024,21.728089495689844,0.0,0.0,366.5917663574219,0.5500011444091797
946,34.250446355000015,35.039234765548386,1.0,54.0,304.47149658203125,0.6095063090324402
957,34.09065392000004,10.61064279973603,0.0,8.0,304.2022705078125,0.6820403933525085
959,35.992497215000014,79.22891555300106,0.0,35.0,304.80926513671875,0.4928950071334839
960,34.198701330000006,5.419856599378224,0.0,0.0,352.78826904296875,0.6195220351219177
967,35.02092503000001,145.52218167339748,1.0,65.0,315.8897705078125,0.5930241346359253
969,33.840568790000034,112.6794566001162,1.0,56.0,429.5707702636719,0.4418917298316955
970,31.338862984999988,73.50264969588538,0.0,54.0,355.1202697753906,0.6506263017654419
974,36.29271330500001,66.12453669616632,1.0,79.0,284.3752746582031,0.4750493466854095
975,33.31106052500001,11.720074749960942,0.0,9.0,329.4020080566406,0.6509622931480408
977,33.477214275000016,96.29032914631348,0.0,17.0,318.6315002441406,0.587778627872467
978,34.232501750000026,57.39713280852658,0.0,13.0,300.4560241699219,0.5424293875694275
992,39.021717440000025,325.3670645006477,1.0,100.0,289.375,0.2526846528053283
994,32.92596360500001,72.37540139807925,0.0,4.0,300.57977294921875,0.721537709236145
995,34.46302821000002,25.336475499994947,0.0,32.0,340.5550231933594,0.4212936460971832
998,39.86596838000001,352.08513413731725,1.0,100.0,288.4747619628906,0.1614161133766174
1006,33.651343404999984,84.61046499739945,1.0,54.0,340.6307678222656,0.4928927719593048
1010,41.26033065000004,400.0,1.0,100.0,289.0007629394531,0.2253310084342956
1014,32.726579105000006,84.99466800510801,0.0,22.0,341.8240051269531,0.6233336925506592
1018,34.93889255000001,211.08443604947325,1.0,85.0,354.2955322265625,0.2645735144615173
1021,31.49780091500003,336.7283316112401,0.0,19.0,322.9340209960937,0.6954025030136108
1022,33.93522895500004,45.64917050488541,0.0,42.0,332.822265625,0.6695199608802795
1023,31.07425127000002,16.183033399732484,1.0,30.0,301.6382751464844,0.689837634563446
1025,34.615984605000044,179.34209270459812,1.0,56.0,305.58477783203125,0.6155085563659668
1028,36.18703952000001,22.42025239692705,0.0,19.0,288.7572631835937,0.5762837529182434
1032,35.001366360000006,83.68940900587005,0.0,4.0,307.3890380859375,0.6259035468101501
1036,33.67204141500004,222.4175260584212,1.0,73.0,301.2657775878906,0.4048389792442322
1037,37.01989706000002,50.60729314636327,1.0,91.0,294.36578369140625,0.3899247050285339
1040,32.41933708500002,0.467868500226276,0.0,37.0,334.23150634765625,0.5263471603393555
1050,34.958641110000016,44.72832949144514,0.0,34.0,341.7037658691406,0.2935041189193725
1052,33.722362265000015,16.917682697427974,1.0,81.0,362.2327575683594,0.5069470405578613
1054,38.07635007500001,150.6676795522082,0.0,100.0,290.0402526855469,0.301239550113678
1056,33.214216625,0.1578617498354688,0.0,0.0,290.635498046875,0.5508334040641785
1060,32.17969590500002,104.59055665347584,0.0,0.0,310.8345031738281,0.7280029654502869
1062,34.796759885,36.469691701262015,0.0,34.0,364.2375183105469,0.5205330848693848
1064,32.89377725000002,44.50597934822525,1.0,46.0,317.18426513671875,0.3943265974521637
1065,34.13964554000003,43.799880139641374,0.0,28.0,297.7344970703125,0.4936935603618622
1068,34.426474385000006,53.95865740848402,0.0,63.0,315.6097717285156,0.4736618101596832
1069,33.59418651500003,45.369353794113984,0.0,9.0,321.3510131835937,0.5997846722602844
1075,37.60893584000003,400.0,1.0,100.0,289.4435119628906,0.1322521716356277
1077,34.89569257499999,30.233212000002723,1.0,86.0,372.1415100097656,0.4036775827407837
1088,33.675744270000045,46.30801924180346,0.0,31.0,337.98101806640625,0.5326454639434814
1089,31.34342034500002,22.980096255045797,0.0,0.0,296.134521484375,0.7009318470954895
1096,34.225380875000035,162.64023965874853,0.0,5.0,310.3235168457031,0.6104439496994019
1099,32.549981405000025,170.66153887779743,1.0,79.0,315.4532470703125,0.5739599466323853
1102,38.22987614,235.76691559405032,1.0,100.0,297.4717712402344,0.1622906029224395
1110,35.66750048000004,27.94487395766128,0.0,91.0,295.9640197753906,0.4638983011245727
1111,32.205615890000004,7.847240100344417,0.0,0.0,332.8612670898437,0.6915651559829712
1116,34.521039605000006,11.43529410269024,0.0,21.0,317.79949951171875,0.5888373255729675
1119,32.922830420000025,109.12750290396858,0.0,22.0,386.8075256347656,0.5785084962844849
1121,37.24975890500001,106.86295039554751,1.0,100.0,293.5895080566406,0.2141322642564773
1123,36.07339035500003,399.84905920014114,1.0,95.0,286.83575439453125,0.2565336525440216
1125,33.344386220000004,75.18639519562744,1.0,74.0,351.989013671875,0.5831233263015747
1126,32.95786512500001,27.85351229907848,0.0,18.0,310.0155029296875,0.7446087598800659
1127,28.70974099000002,38.19979970097956,0.0,0.0,357.8380126953125,0.8302168250083923
1130,38.055936900000034,48.743438201592696,1.0,78.0,288.6802673339844,0.4034827053546905
1132,37.35059049500004,74.42034000061255,1.0,87.0,290.93377685546875,0.3729813694953918
1134,32.659832769999994,80.2253119923127,0.0,30.0,351.5130310058594,0.6347768306732178
1136,34.76352913499999,23.38686899979477,0.0,50.0,314.644287109375,0.5541756749153137
1139,35.73196813499998,154.10888189757551,1.0,100.0,290.4197692871094,0.3291335999965668
1140,34.255573385000034,159.96287682637205,1.0,49.0,311.56402587890625,0.7003647685050964
1141,34.89417345500002,155.0328565958252,0.0,39.0,304.1230163574219,0.5434986352920532
1146,33.382933890000054,16.072759749791786,0.0,22.0,358.08453369140625,0.4644595086574554
1151,36.77199566500002,102.4384787127262,1.0,53.0,295.9772644042969,0.3788600862026214
1152,33.505507885000014,167.45282726311837,1.0,67.0,327.541259765625,0.5822895169258118
1159,32.238087080000014,165.07975519858277,0.0,10.0,329.311279296875,0.5743421316146851
1166,34.57287957500001,3.700800552845185,0.0,44.0,373.51800537109375,0.5559971332550049
1177,34.22642527000004,67.42224455368016,0.0,48.0,337.6227722167969,0.5089554786682129
1182,33.932285660000005,133.56738326136897,0.0,27.0,331.374755859375,0.6102780103683472
1184,33.86572921500004,14.320973751524631,0.0,68.0,339.35028076171875,0.4976378977298736
1186,33.16664918000002,7.585944052387544,0.0,37.0,302.83453369140625,0.652706503868103
1187,33.66596493500002,102.10960480020242,0.0,42.0,330.49676513671875,0.4824694693088531
1189,36.35281349000002,62.42953105075482,1.0,95.0,292.05426025390625,0.3510511815547943
1192,38.44264788500002,128.09976700294948,1.0,100.0,286.5397644042969,0.1339268088340759
1196,34.68149665499999,154.0651469524276,1.0,52.0,297.04052734375,0.453900009393692
1203,32.97096753500002,242.7403913877729,1.0,42.0,339.75103759765625,0.5436916351318359
1205,32.665054745000006,135.1457407568828,0.0,60.0,376.2997741699219,0.4329814016819
1208,33.310490855,197.22290429825176,1.0,86.0,291.3625183105469,0.3960456848144531
1210,35.08985510000002,160.40125931822377,0.0,16.0,320.4747619628906,0.6290181279182434
1211,32.71945823000003,28.023492496334647,0.0,3.0,305.38427734375,0.7244328260421753
1213,37.30311799500004,116.51876274753393,1.0,45.0,291.5870056152344,0.3680707216262817
1218,40.49203571000001,0.9644436994088732,1.0,93.0,292.89801025390625,0.1179953813552856
1219,34.645797335000005,82.06752844093829,1.0,29.0,283.6805114746094,0.536655068397522
1220,33.50161514000001,21.14726319961904,0.0,7.0,332.4067687988281,0.65996915102005
1223,37.630583299999984,48.474938946277234,1.0,78.0,289.54803466796875,0.1809445172548294
1224,34.29858347000002,163.78445454748675,1.0,62.0,315.7777709960937,0.5719195008277893
1226,34.83407326999999,11.778493998016645,0.0,30.0,314.302001953125,0.541471540927887
1227,38.21962208000002,205.30766340280584,1.0,100.0,300.2490234375,0.2148287296295166
1241,33.265202090000024,28.153461552154766,0.0,80.0,333.1927795410156,0.4265384078025818
1247,33.282007355000005,95.55051725384206,0.0,5.0,332.770263671875,0.6785212159156799
1250,33.651058570000025,65.4467597077753,0.0,60.0,373.24127197265625,0.5563907027244568
1251,35.310032555000014,200.04354924786412,1.0,61.0,352.3090209960937,0.3638707995414734
1254,37.79996518000005,363.8644199694136,1.0,85.0,290.0072631835937,0.4054044783115387
1255,32.098802765000016,32.383725396256125,0.0,16.0,333.2127685546875,0.5865841507911682
1257,35.75010263000001,11.86905220088287,0.0,31.0,292.801025390625,0.636921226978302
1258,34.94117123000002,132.38835530045927,0.0,17.0,328.2742614746094,0.5489359498023987
1263,34.19120067500001,62.11149701731901,1.0,32.0,321.9512634277344,0.6310316324234009
1265,31.81140425000004,67.13019233539534,1.0,36.0,313.2965087890625,0.6420981884002686
1270,36.066079590000015,1.017886050106487,0.0,58.0,290.2295227050781,0.4013791084289551
1274,41.056863515,398.3695429185916,1.0,100.0,290.23101806640625,0.1458463966846466
1275,32.986918294999995,152.10527779680964,1.0,46.0,316.3070068359375,0.6150513291358948
1277,32.749176015,206.53027879209367,1.0,42.0,329.35601806640625,0.5401269197463989
1279,33.82661187499998,15.063333696681244,0.0,52.0,289.479248046875,0.3600390255451202
1283,33.771923555,243.5986277005173,1.0,60.0,333.12750244140625,0.6456191539764404
1288,34.067677229999994,60.779738599713696,1.0,65.0,289.6255187988281,0.4611756503582001
1295,33.58478696000003,103.07842599552774,1.0,50.0,335.2952575683594,0.4989785850048065
1298,34.88543851500002,86.97789919170087,1.0,68.0,313.7752685546875,0.5653884410858154
