OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
113875.0,7.876666546,280.9127532,284.239704,2379.843874,1.0,100.0,0.0,0.0,323.5787659,0.122219481
106116.0,8.830666542,107.6095921,158.2921077,1109.220515,1.0,69.0,0.0,0.0,310.2312622,0.542928934
90071.0,4.75,75.94405265,76.31010162,360.7342501,1.0,49.0,0.0,0.0,306.4380188,0.598876417
80126.0,4.529666901,29.72183225,31.48259666,150.0629455,0.0,22.0,0.0,0.0,328.6119995,0.6662184
71200.0,9.173000336,345.0936198,363.0598473,3165.543775,1.0,100.0,0.0,0.0,294.3995056,0.266251951
69991.0,6.599666595,26.60925165,26.72868198,75.32779203,0.0,40.0,0.0,0.0,312.0090027,0.543406248
71236.0,9.734000206,61.77485705,79.65320901,444.9874296,1.0,100.0,0.0,0.0,305.7550049,0.349493921
4857.0,11.80300045,349.61746,349.6170255,4126.53488,1.0,100.0,0.0,0.0,290.0830078,0.067537203
70072.0,8.967000008,321.3701171,332.2135705,2881.72584,1.0,100.0,0.0,0.0,365.3042603,0.118160702
49504.0,14.125,0.11006,0.128801606,1.554597494,0.0,13.0,1.0,0.0,329.6752625,0.70284903
76911.0,10.85499954,2.385850399,2.583215161,25.89840609,0.0,18.0,0.0,0.0,306.3992615,0.495171279
113138.0,10.45400047,37.79803516,43.2306843,395.1406595,0.0,24.0,0.0,0.0,311.7625122,0.551463723
67961.0,12.67000008,120.5400669,137.18638,1527.242648,1.0,37.0,0.0,0.0,336.6537476,0.50239563
49980.0,5.354000092,26.34650295,26.38154764,127.9212167,0.0,42.0,0.0,0.0,330.3137512,0.484790206
50158.0,14.28999996,57.87615596,74.49279391,827.0502687,0.0,15.0,0.0,52.0,337.7460327,0.629297554
57788.0,16.43216705,342.5281374,468.8213344,5986.702265,1.0,100.0,0.0,0.0,298.7335205,0.215248525
102893.0,2.119999886,41.98339715,41.98343133,89.00480196,0.0,0.0,0.0,0.0,312.9035034,0.667950451
122009.0,4.150000095,31.74906715,31.91629572,131.7586287,0.0,34.0,0.0,0.0,283.4515076,0.449247181
