,flaeche,buildup,imprevious,DGM,NDVI
107,19.165754001405187,1.0,38.0,360.03125,0.6897081136703491
108,133.4365977932479,1.0,100.0,286.4032592773437,0.2644641399383545
109,55.81288454360848,1.0,42.0,331.2947692871094,0.583092451095581
111,66.24349380903608,0.0,27.0,283.623779296875,0.5543742179870605
114,67.67438900077293,1.0,61.0,312.8260192871094,0.627126932144165
121,79.44677259929827,1.0,56.0,299.239013671875,0.4144409596920013
132,16.077452254003283,0.0,33.0,344.73126220703125,0.4746638536453247
133,15.057821757420086,0.0,0.0,334.7482604980469,0.5970161557197571
142,59.6786780040989,0.0,14.0,302.3099975585937,0.6831233501434326
143,101.0246915995379,1.0,42.0,325.9192810058594,0.626813530921936
149,54.28470629501935,0.0,39.0,342.57928466796875,0.6043046712875366
155,58.21204439643636,0.0,16.0,351.8082580566406,0.583703339099884
164,13.452439902719131,1.0,59.0,307.27227783203125,0.2851133048534393
168,63.227089596855286,0.0,32.0,325.5247802734375,0.545997142791748
174,63.434605197712514,1.0,33.0,324.4114990234375,0.580025315284729
177,18.358570403623105,1.0,47.0,292.8492431640625,0.3698019981384277
182,61.53821050016168,0.0,48.0,344.29852294921875,0.5551695823669434
190,64.58546794824433,1.0,93.0,350.02325439453125,0.4748491644859314
197,197.5245464564672,1.0,90.0,318.23651123046875,0.4665057361125946
202,400.0,1.0,100.0,290.4727783203125,0.2322643250226974
208,72.28419140905694,0.0,33.0,350.4325256347656,0.5483607649803162
215,0.0708921000631615,0.0,0.0,344.0815124511719,0.7544189095497131
216,39.38121812467183,0.0,17.0,316.468505859375,0.6839607357978821
220,76.08973294448703,0.0,20.0,321.8125,0.6045448780059814
226,9.8957384004511,0.0,0.0,340.822021484375,0.4225172698497772
227,6.225714646660098,0.0,28.0,334.3997497558594,0.532377302646637
231,85.82558859906,1.0,63.0,297.37725830078125,0.5220908522605896
232,348.0377311412154,1.0,100.0,298.5732727050781,0.1836617738008499
236,196.0444751351792,1.0,86.0,285.9322509765625,0.4788070619106293
242,91.2928702402962,1.0,59.0,383.3027648925781,0.6131080389022827
246,134.58687800879915,1.0,32.0,342.9974975585937,0.3312534987926483
247,187.7333831585136,1.0,51.0,289.87176513671875,0.5376600623130798
249,72.69722840724154,1.0,89.0,285.99176025390625,0.4234702587127685
259,130.68560860725634,0.0,16.0,331.8062744140625,0.5221970081329346
266,37.71665065044809,0.0,61.0,321.90899658203125,0.5899845361709595
269,26.731294707716785,0.0,36.0,288.4945068359375,0.4123134911060333
272,162.68090649965265,0.0,71.0,350.86053466796875,0.4740105867385864
273,33.346745354298534,0.0,0.0,343.59503173828125,0.7042931914329529
287,219.54890518695595,1.0,47.0,290.8445129394531,0.3952295482158661
291,39.77475674798004,1.0,93.0,294.83502197265625,0.2991041839122772
292,4.130328199442069,0.0,35.0,326.68475341796875,0.638333261013031
293,14.317541697472183,1.0,100.0,288.7225036621094,0.2912243902683258
301,26.25691365410541,0.0,4.0,328.35601806640625,0.6889051198959351
307,36.33987129651889,0.0,21.0,301.5590209960937,0.572148323059082
310,142.17698891593034,0.0,24.0,321.58599853515625,0.4890555143356323
325,55.08039834909525,1.0,85.0,365.2407836914063,0.3504685461521148
327,91.90287299288742,0.0,23.0,283.5985107421875,0.4792808294296264
329,23.290111653481937,1.0,99.0,330.63775634765625,0.5566610097885132
330,136.6961269544484,1.0,45.0,320.4027709960937,0.575920581817627
338,50.697579302233095,0.0,0.0,332.0777587890625,0.6533803939819336
344,59.67423220042621,0.0,36.0,328.11474609375,0.5626454949378967
349,17.44816600240247,0.0,0.0,317.9800109863281,0.7460566759109497
350,209.03005479581523,1.0,97.0,335.6002502441406,0.5840778350830078
353,9.023246047694055,0.0,34.0,286.32177734375,0.5975948572158813
360,214.05252538846,0.0,15.0,294.832763671875,0.6040454506874084
363,77.07374499137619,0.0,45.0,358.6280212402344,0.2799604833126068
364,79.88533120845653,0.0,51.0,350.8945007324219,0.5841625332832336
367,18.83557699725884,0.0,25.0,291.8197631835937,0.5053706765174866
378,82.88328575074769,0.0,31.0,287.29052734375,0.6453215479850769
382,140.33612010760004,1.0,74.0,289.53826904296875,0.4737147092819214
384,123.9277924027668,0.0,20.0,340.218017578125,0.5459478497505188
386,22.083258497968316,0.0,19.0,290.4380187988281,0.668293297290802
387,279.1847816059884,1.0,88.0,288.9515075683594,0.3678447306156158
388,104.5926830116666,0.0,11.0,352.58453369140625,0.6627371311187744
389,84.53945219184345,1.0,50.0,362.0924987792969,0.5805520415306091
393,90.22941270590142,0.0,48.0,303.64324951171875,0.4675547182559967
399,113.6153296887305,0.0,27.0,366.68402099609375,0.4969420731067657
407,99.85386224990594,0.0,22.0,329.2762756347656,0.6107327938079834
417,392.9455961696203,1.0,97.0,287.8242492675781,0.2004221826791763
418,185.27850729613436,1.0,42.0,296.875,0.6315132975578308
423,279.165661005008,1.0,98.0,287.77978515625,0.5082336664199829
431,1.772736150821962,0.0,9.0,320.53302001953125,0.7044640183448792
437,112.14663970967251,0.0,14.0,328.6647644042969,0.7401031851768494
438,1.0755160011202247,0.0,60.0,338.5110168457031,0.3796075284481048
443,119.08809039695534,0.0,27.0,295.80224609375,0.5447962284088135
445,19.55083010143256,1.0,87.0,320.10650634765625,0.0219106078147888
451,99.7376225970898,0.0,46.0,352.52801513671875,0.5151177048683167
452,63.33835000252211,1.0,100.0,288.8730163574219,0.0631376057863235
457,57.94853100289848,1.0,75.0,290.04400634765625,0.4203779697418213
462,29.277810697206743,0.0,86.0,291.72027587890625,0.4450687766075134
474,62.88346794947163,0.0,24.0,283.00225830078125,0.5237881541252136
479,61.348163588721015,0.0,32.0,358.6620178222656,0.5934022665023804
489,311.7023547278534,0.0,37.0,283.8697509765625,0.4427179098129272
493,104.50005354897496,1.0,100.0,289.92999267578125,0.1280428767204284
494,0.2101096004168406,0.0,10.0,290.1362609863281,0.6807678937911987
497,0.4287659996414706,0.0,39.0,311.8547668457031,0.5747935771942139
499,62.29661369811586,0.0,34.0,330.7530212402344,0.6612168550491333
500,156.85362843940177,1.0,66.0,297.6597595214844,0.4892457723617553
508,88.06443634687307,0.0,35.0,322.95977783203125,0.5695720314979553
514,21.182837493155663,0.0,3.0,287.291015625,0.6868433952331543
517,89.06020040276285,0.0,24.0,317.4520263671875,0.6627122163772583
522,0.2817750000394881,0.0,0.0,307.0195007324219,0.6463273763656616
524,156.12399900030672,1.0,43.0,299.38427734375,0.551937997341156
525,4.303898820812304,0.0,4.0,345.50750732421875,0.6388617157936096
529,13.644707475849536,0.0,55.0,429.5387573242188,0.4654927253723144
534,186.65155100779177,1.0,79.0,289.81524658203125,0.5806712508201599
541,8.78160599830221,0.0,0.0,355.5165100097656,0.7159270644187927
544,58.43403240834661,1.0,86.0,291.2797546386719,0.2379280924797058
562,78.81393855165773,0.0,35.0,288.2342529296875,0.5850614309310913
565,98.80058115505956,1.0,34.0,322.4112548828125,0.5606732368469238
575,248.688884495813,1.0,34.0,328.1085205078125,0.4989422261714935
576,92.0982535493537,1.0,41.0,289.8130187988281,0.5267072319984436
582,134.02903120584608,1.0,49.0,337.728515625,0.479144811630249
591,84.15230090314881,0.0,0.0,345.29327392578125,0.5529662370681763
594,91.88066980182458,0.0,46.0,296.08551025390625,0.4087952673435211
595,107.56970004745486,0.0,47.0,296.8912658691406,0.3914119303226471
597,9.032863696704956,0.0,40.0,321.3497619628906,0.5652447938919067
600,59.30606965231901,1.0,91.0,287.28326416015625,0.3294636011123657
608,107.95200764501486,0.0,0.0,353.8230285644531,0.5469328761100769
612,240.2904972517624,1.0,87.0,287.72625732421875,0.3029197752475738
618,61.605421549364216,0.0,18.0,291.8187561035156,0.6003490686416626
623,47.117434091534506,1.0,83.0,310.6005249023437,0.4227290153503418
625,9.156409001982755,0.0,29.0,351.4977722167969,0.6753650307655334
630,271.1315053584478,1.0,91.0,294.3942565917969,0.3774247467517853
632,17.28867798643385,0.0,0.0,333.4202575683594,0.684316098690033
634,82.28345304603724,1.0,70.0,340.2997741699219,0.5346173048019409
640,169.80701415162207,1.0,100.0,292.8340148925781,0.2927602529525757
642,46.444178350191045,0.0,17.0,307.6857604980469,0.6758376359939575
645,197.0953501131501,1.0,92.0,295.44952392578125,0.3295190334320068
646,32.86607772324741,1.0,40.0,325.4335327148437,0.639276921749115
649,400.0,1.0,100.0,289.3940124511719,0.1479252129793167
652,280.5153221627319,1.0,100.0,289.93927001953125,0.0941191464662551
658,16.634291192468396,1.0,82.0,337.405517578125,0.4159724414348602
660,21.90102743948805,1.0,100.0,295.22100830078125,0.2265863120555877
665,61.46105680662808,1.0,41.0,315.5762634277344,0.6354413032531738
667,162.96516094478375,1.0,94.0,294.74176025390625,0.3846181333065033
680,123.23267081852026,1.0,41.0,340.20977783203125,0.441393494606018
681,53.57150629886436,1.0,100.0,290.68878173828125,0.252170979976654
684,68.0219424993621,0.0,26.0,303.7402648925781,0.5693433880805969
696,120.30718474221268,0.0,29.0,337.0245056152344,0.535283088684082
705,56.184307590773614,1.0,100.0,288.5870056152344,0.09053735435009
708,63.650167780349015,1.0,66.0,340.01727294921875,0.5456104874610901
710,115.63760689201644,0.0,47.0,283.8740234375,0.6176062822341919
711,141.39744254922613,1.0,100.0,298.9642639160156,0.3512523472309112
718,142.9452208498701,0.0,28.0,294.385009765625,0.6109524369239807
722,292.5679999962449,1.0,79.0,335.05352783203125,0.0874946564435958
723,42.48156795177624,0.0,22.0,289.20574951171875,0.5269946455955505
731,134.91400200095387,0.0,59.0,353.6747436523437,0.3258644342422485
732,71.40956664411135,1.0,93.0,284.8547668457031,0.2375996112823486
734,34.49052649981162,0.0,0.0,333.0565185546875,0.6783316135406494
737,167.27967219260756,1.0,73.0,292.3582763671875,0.4295319318771362
750,143.68528200264456,1.0,100.0,288.6922607421875,0.162561610341072
751,66.5378372756033,0.0,40.0,366.75775146484375,0.4418928325176239
753,350.54647421442274,1.0,100.0,297.58251953125,0.1425424665212631
756,114.3127380922619,0.0,33.0,322.2490234375,0.6289032101631165
761,42.9514615492245,1.0,100.0,289.4852600097656,0.0552289858460426
766,3.663298797450949,0.0,3.0,314.2220153808594,0.7757660746574402
775,23.07211810352093,0.0,47.0,342.3255310058594,0.4967189431190491
776,0.0942637499141693,1.0,64.0,314.7962646484375,0.5962634086608887
777,77.09420199183319,0.0,0.0,365.7025146484375,0.6432978510856628
781,33.78196550434798,0.0,17.0,290.12225341796875,0.5225979089736938
789,90.92579900246592,0.0,20.0,320.3477783203125,0.5012066960334778
792,138.4222193527711,0.0,30.0,305.6125183105469,0.6662299633026123
794,81.96888874525163,0.0,35.0,282.5567626953125,0.5527285933494568
798,64.08086189792863,0.0,22.0,288.60650634765625,0.6415489912033081
801,69.85040454544891,1.0,100.0,288.3155212402344,0.3338965475559234
811,10.779505051539548,0.0,10.0,349.16827392578125,0.6269989013671875
812,171.32932945195412,0.0,15.0,346.1435241699219,0.6228165626525879
822,27.505798851853974,0.0,86.0,286.6495361328125,0.2428800910711288
828,277.54188934025126,1.0,97.0,334.4690246582031,0.4746177494525909
830,30.90353640121576,0.0,17.0,317.227783203125,0.6849964261054993
832,70.49857559563351,0.0,36.0,390.8165283203125,0.586631178855896
836,59.66489950053302,1.0,33.0,363.08251953125,0.6586196422576904
838,24.05571109936145,0.0,33.0,295.1462707519531,0.5401715040206909
839,98.08989484317964,0.0,70.0,340.9970092773437,0.4505552649497986
840,0.195146600079631,0.0,28.0,301.4627685546875,0.6100539565086365
849,11.426854759732851,0.0,33.0,322.4327697753906,0.5437508821487427
854,134.5333323534731,1.0,84.0,295.291015625,0.4485955536365509
855,95.15055365314478,0.0,51.0,363.4585266113281,0.5086438059806824
864,23.384409799689635,1.0,64.0,305.53277587890625,0.5803844928741455
866,122.49206319616466,1.0,39.0,323.145263671875,0.5759278535842896
869,38.31563700144003,1.0,82.0,302.28253173828125,0.5168816447257996
872,191.43817759543765,0.0,35.0,346.1670227050781,0.5565419793128967
874,6.524236552719244,0.0,65.0,298.4720153808594,0.5203261375427246
880,13.698580247277135,0.0,54.0,324.41802978515625,0.5263903141021729
884,240.98035494114,1.0,59.0,344.69952392578125,0.7081528306007385
894,46.28714160381148,1.0,100.0,289.97125244140625,0.3304576277732849
899,82.64533719544252,0.0,22.0,298.77801513671875,0.5751051306724548
903,46.68663194667476,0.0,22.0,296.583251953125,0.4750415682792663
906,104.96895780077156,0.0,28.0,284.0767822265625,0.5343967080116272
908,206.1780000012368,1.0,100.0,286.769775390625,0.1967064142227172
912,80.35883569421868,1.0,44.0,319.4797668457031,0.5904220342636108
913,157.25902649667822,0.0,30.0,330.978271484375,0.4895965754985809
915,0.3948462898360258,1.0,56.0,286.47100830078125,0.449582576751709
917,3.1686575488176,0.0,34.0,341.1595153808594,0.4315206110477447
924,28.948190004717688,0.0,6.0,352.0147705078125,0.6543229222297668
928,37.56378209807318,1.0,84.0,314.884033203125,0.4785795509815216
930,13.426067249025673,1.0,57.0,369.2227783203125,0.6064046025276184
935,2.9540387250041267,0.0,14.0,345.5815124511719,0.4896617233753204
937,2.161086899639334,0.0,8.0,283.5567626953125,0.6055546998977661
942,62.40223899777669,1.0,77.0,328.6302490234375,0.5300914645195007
944,21.728089495689844,0.0,0.0,366.5917663574219,0.5500011444091797
946,35.039234765548386,1.0,54.0,304.47149658203125,0.6095063090324402
957,10.61064279973603,0.0,8.0,304.2022705078125,0.6820403933525085
959,79.22891555300106,0.0,35.0,304.80926513671875,0.4928950071334839
960,5.419856599378224,0.0,0.0,352.78826904296875,0.6195220351219177
967,145.52218167339748,1.0,65.0,315.8897705078125,0.5930241346359253
969,112.6794566001162,1.0,56.0,429.5707702636719,0.4418917298316955
970,73.50264969588538,0.0,54.0,355.1202697753906,0.6506263017654419
974,66.12453669616632,1.0,79.0,284.3752746582031,0.4750493466854095
975,11.720074749960942,0.0,9.0,329.4020080566406,0.6509622931480408
977,96.29032914631348,0.0,17.0,318.6315002441406,0.587778627872467
978,57.39713280852658,0.0,13.0,300.4560241699219,0.5424293875694275
992,325.3670645006477,1.0,100.0,289.375,0.2526846528053283
994,72.37540139807925,0.0,4.0,300.57977294921875,0.721537709236145
995,25.336475499994947,0.0,32.0,340.5550231933594,0.4212936460971832
998,352.08513413731725,1.0,100.0,288.4747619628906,0.1614161133766174
1006,84.61046499739945,1.0,54.0,340.6307678222656,0.4928927719593048
1010,400.0,1.0,100.0,289.0007629394531,0.2253310084342956
1014,84.99466800510801,0.0,22.0,341.8240051269531,0.6233336925506592
1018,211.08443604947325,1.0,85.0,354.2955322265625,0.2645735144615173
1021,336.7283316112401,0.0,19.0,322.9340209960937,0.6954025030136108
1022,45.64917050488541,0.0,42.0,332.822265625,0.6695199608802795
1023,16.183033399732484,1.0,30.0,301.6382751464844,0.689837634563446
1025,179.34209270459812,1.0,56.0,305.58477783203125,0.6155085563659668
1028,22.42025239692705,0.0,19.0,288.7572631835937,0.5762837529182434
1032,83.68940900587005,0.0,4.0,307.3890380859375,0.6259035468101501
1036,222.4175260584212,1.0,73.0,301.2657775878906,0.4048389792442322
1037,50.60729314636327,1.0,91.0,294.36578369140625,0.3899247050285339
1040,0.467868500226276,0.0,37.0,334.23150634765625,0.5263471603393555
1050,44.72832949144514,0.0,34.0,341.7037658691406,0.2935041189193725
1052,16.917682697427974,1.0,81.0,362.2327575683594,0.5069470405578613
1054,150.6676795522082,0.0,100.0,290.0402526855469,0.301239550113678
1056,0.1578617498354688,0.0,0.0,290.635498046875,0.5508334040641785
1060,104.59055665347584,0.0,0.0,310.8345031738281,0.7280029654502869
1062,36.469691701262015,0.0,34.0,364.2375183105469,0.5205330848693848
1064,44.50597934822525,1.0,46.0,317.18426513671875,0.3943265974521637
1065,43.799880139641374,0.0,28.0,297.7344970703125,0.4936935603618622
1068,53.95865740848402,0.0,63.0,315.6097717285156,0.4736618101596832
1069,45.369353794113984,0.0,9.0,321.3510131835937,0.5997846722602844
1075,400.0,1.0,100.0,289.4435119628906,0.1322521716356277
1077,30.233212000002723,1.0,86.0,372.1415100097656,0.4036775827407837
1088,46.30801924180346,0.0,31.0,337.98101806640625,0.5326454639434814
1089,22.980096255045797,0.0,0.0,296.134521484375,0.7009318470954895
1096,162.64023965874853,0.0,5.0,310.3235168457031,0.6104439496994019
1099,170.66153887779743,1.0,79.0,315.4532470703125,0.5739599466323853
1102,235.76691559405032,1.0,100.0,297.4717712402344,0.1622906029224395
1110,27.94487395766128,0.0,91.0,295.9640197753906,0.4638983011245727
1111,7.847240100344417,0.0,0.0,332.8612670898437,0.6915651559829712
1116,11.43529410269024,0.0,21.0,317.79949951171875,0.5888373255729675
1119,109.12750290396858,0.0,22.0,386.8075256347656,0.5785084962844849
1121,106.86295039554751,1.0,100.0,293.5895080566406,0.2141322642564773
1123,399.84905920014114,1.0,95.0,286.83575439453125,0.2565336525440216
1125,75.18639519562744,1.0,74.0,351.989013671875,0.5831233263015747
1126,27.85351229907848,0.0,18.0,310.0155029296875,0.7446087598800659
1127,38.19979970097956,0.0,0.0,357.8380126953125,0.8302168250083923
1130,48.743438201592696,1.0,78.0,288.6802673339844,0.4034827053546905
1132,74.42034000061255,1.0,87.0,290.93377685546875,0.3729813694953918
1134,80.2253119923127,0.0,30.0,351.5130310058594,0.6347768306732178
1136,23.38686899979477,0.0,50.0,314.644287109375,0.5541756749153137
1139,154.10888189757551,1.0,100.0,290.4197692871094,0.3291335999965668
1140,159.96287682637205,1.0,49.0,311.56402587890625,0.7003647685050964
1141,155.0328565958252,0.0,39.0,304.1230163574219,0.5434986352920532
1146,16.072759749791786,0.0,22.0,358.08453369140625,0.4644595086574554
1151,102.4384787127262,1.0,53.0,295.9772644042969,0.3788600862026214
1152,167.45282726311837,1.0,67.0,327.541259765625,0.5822895169258118
1159,165.07975519858277,0.0,10.0,329.311279296875,0.5743421316146851
1166,3.700800552845185,0.0,44.0,373.51800537109375,0.5559971332550049
1177,67.42224455368016,0.0,48.0,337.6227722167969,0.5089554786682129
1182,133.56738326136897,0.0,27.0,331.374755859375,0.6102780103683472
1184,14.320973751524631,0.0,68.0,339.35028076171875,0.4976378977298736
1186,7.585944052387544,0.0,37.0,302.83453369140625,0.652706503868103
1187,102.10960480020242,0.0,42.0,330.49676513671875,0.4824694693088531
1189,62.42953105075482,1.0,95.0,292.05426025390625,0.3510511815547943
1192,128.09976700294948,1.0,100.0,286.5397644042969,0.1339268088340759
1196,154.0651469524276,1.0,52.0,297.04052734375,0.453900009393692
1203,242.7403913877729,1.0,42.0,339.75103759765625,0.5436916351318359
1205,135.1457407568828,0.0,60.0,376.2997741699219,0.4329814016819
1208,197.22290429825176,1.0,86.0,291.3625183105469,0.3960456848144531
1210,160.40125931822377,0.0,16.0,320.4747619628906,0.6290181279182434
1211,28.023492496334647,0.0,3.0,305.38427734375,0.7244328260421753
1213,116.51876274753393,1.0,45.0,291.5870056152344,0.3680707216262817
1218,0.9644436994088732,1.0,93.0,292.89801025390625,0.1179953813552856
1219,82.06752844093829,1.0,29.0,283.6805114746094,0.536655068397522
1220,21.14726319961904,0.0,7.0,332.4067687988281,0.65996915102005
1223,48.474938946277234,1.0,78.0,289.54803466796875,0.1809445172548294
1224,163.78445454748675,1.0,62.0,315.7777709960937,0.5719195008277893
1226,11.778493998016645,0.0,30.0,314.302001953125,0.541471540927887
1227,205.30766340280584,1.0,100.0,300.2490234375,0.2148287296295166
1241,28.153461552154766,0.0,80.0,333.1927795410156,0.4265384078025818
1247,95.55051725384206,0.0,5.0,332.770263671875,0.6785212159156799
1250,65.4467597077753,0.0,60.0,373.24127197265625,0.5563907027244568
1251,200.04354924786412,1.0,61.0,352.3090209960937,0.3638707995414734
1254,363.8644199694136,1.0,85.0,290.0072631835937,0.4054044783115387
1255,32.383725396256125,0.0,16.0,333.2127685546875,0.5865841507911682
1257,11.86905220088287,0.0,31.0,292.801025390625,0.636921226978302
1258,132.38835530045927,0.0,17.0,328.2742614746094,0.5489359498023987
1263,62.11149701731901,1.0,32.0,321.9512634277344,0.6310316324234009
1265,67.13019233539534,1.0,36.0,313.2965087890625,0.6420981884002686
1270,1.017886050106487,0.0,58.0,290.2295227050781,0.4013791084289551
1274,398.3695429185916,1.0,100.0,290.23101806640625,0.1458463966846466
1275,152.10527779680964,1.0,46.0,316.3070068359375,0.6150513291358948
1277,206.53027879209367,1.0,42.0,329.35601806640625,0.5401269197463989
1279,15.063333696681244,0.0,52.0,289.479248046875,0.3600390255451202
1283,243.5986277005173,1.0,60.0,333.12750244140625,0.6456191539764404
1288,60.779738599713696,1.0,65.0,289.6255187988281,0.4611756503582001
1295,103.07842599552774,1.0,50.0,335.2952575683594,0.4989785850048065
1298,86.97789919170087,1.0,68.0,313.7752685546875,0.5653884410858154
1317,32.62922999988932,1.0,26.0,340.27099609375,0.5841761827468872
1324,153.42755810608674,0.0,14.0,376.6987609863281,0.5280622839927673
1327,160.3535754915732,1.0,100.0,287.552001953125,0.1982712745666504
1328,97.24293795844632,1.0,50.0,294.373779296875,0.4088324606418609
1330,79.8131134538463,0.0,46.0,373.6227722167969,0.5214633345603943
1342,83.53020439448747,0.0,22.0,357.26251220703125,0.5955899953842163
1348,80.84398704504684,0.0,15.0,333.0987548828125,0.6067582368850708
1352,177.93330989464062,1.0,42.0,329.1820068359375,0.5553485751152039
1355,118.72408279863303,0.0,15.0,317.7427673339844,0.6488096117973328
1362,270.7623183005173,1.0,99.0,303.9435119628906,0.3334884643554687
1365,0.0978067194727647,1.0,50.0,284.1492614746094,0.5041263103485107
1366,31.96385584208479,0.0,52.0,283.5357666015625,0.690763533115387
1368,156.97419810652482,1.0,31.0,309.1312561035156,0.63246089220047
1370,78.52961604718978,1.0,51.0,303.54327392578125,0.5298889875411987
1378,277.3261365043379,1.0,100.0,287.9522705078125,0.5943361520767212
1379,55.11842727897087,1.0,100.0,290.7275085449219,0.2921614646911621
1382,176.36042094937054,1.0,55.0,288.488525390625,0.5638121366500854
1385,85.64376424291525,1.0,72.0,293.8622741699219,0.4473796784877777
1387,183.6304610811144,1.0,56.0,366.1592712402344,0.3950172960758209
1389,24.681234296307792,0.0,28.0,358.31024169921875,0.6289873719215393
1393,115.63711739611026,1.0,63.0,344.9844970703125,0.5814801454544067
1398,67.53331799550361,1.0,42.0,336.2687683105469,0.6003345847129822
1407,3.0027857499203106,1.0,23.0,302.7232666015625,0.6217964291572571
1417,57.66968540143765,1.0,55.0,337.72003173828125,0.5036821365356445
1422,165.7689019986893,1.0,31.0,364.2662658691406,0.5097660422325134
1426,340.0833295006356,1.0,95.0,300.87274169921875,0.2162242531776428
1427,39.7060216994235,1.0,62.0,306.7982482910156,0.532548189163208
1437,40.75169874054184,0.0,100.0,286.7552490234375,0.0727724805474281
1443,131.61397325676927,0.0,23.0,288.08599853515625,0.5557289719581604
1446,27.085678748395253,0.0,5.0,362.6702575683594,0.6243965029716492
1448,27.84153194526893,1.0,42.0,337.3030090332031,0.4807267487049103
1450,22.69257619908155,0.0,9.0,285.11676025390625,0.557239294052124
1459,120.9439381441352,0.0,13.0,399.4845275878906,0.7144820690155029
1463,33.028918401999064,1.0,96.0,287.73828125,0.2338501065969467
1474,50.86655165928704,0.0,62.0,352.5590209960937,0.4256119132041931
1476,85.38874849203158,0.0,65.0,326.770751953125,0.5489110350608826
1477,250.88440929648831,0.0,84.0,286.48101806640625,0.4390247464179992
1478,108.4378919531566,0.0,31.0,315.0355224609375,0.4674130976200104
1479,81.9485292504834,0.0,34.0,319.176025390625,0.7179494500160217
1480,123.85089558389464,0.0,0.0,327.20025634765625,0.4836708307266235
1483,22.411816900866548,0.0,66.0,328.33526611328125,0.5236490964889526
1485,86.65920659322614,1.0,82.0,289.6492614746094,0.4748676419258117
1487,104.2536720067267,0.0,33.0,338.3367614746094,0.5487475991249084
1489,37.08224549146086,0.0,0.0,311.9385070800781,0.7753494381904602
1494,179.67059431518754,1.0,78.0,286.7662658691406,0.333136111497879
1506,30.322549051529805,0.0,5.0,338.44000244140625,0.619077742099762
1507,17.264353998588216,0.0,0.0,378.9477844238281,0.6546856164932251
1508,22.660405000331792,1.0,100.0,289.79327392578125,0.1460428535938263
1526,111.54115215681618,1.0,46.0,295.5147705078125,0.4287954866886139
1533,70.69919385287973,0.0,37.0,286.9380187988281,0.3496363162994385
1535,150.82936405022403,0.0,52.0,328.4267578125,0.6529492139816284
1536,119.76801268786554,0.0,47.0,302.1075134277344,0.44444540143013
1537,180.72831460762796,0.0,37.0,327.5945129394531,0.6355876326560974
1540,106.91194925091004,0.0,25.0,341.7607727050781,0.5149793028831482
1543,122.470732705288,0.0,89.0,284.9642639160156,0.3540408909320831
1557,110.4428745959904,0.0,25.0,340.1807861328125,0.6446529030799866
1558,101.31893100346088,0.0,79.0,290.7402648925781,0.2812988460063934
1565,214.2631428838096,1.0,42.0,338.5605163574219,0.5970237255096436
1567,79.00941084980505,0.0,28.0,342.259521484375,0.6442349553108215
1571,143.3657598524856,1.0,49.0,377.2830200195313,0.5018914341926575
1572,7.712786451057359,0.0,0.0,323.8630065917969,0.7201026678085327
1573,12.133766998135478,1.0,56.0,338.80328369140625,0.4315359592437744
1581,139.59426274439494,1.0,100.0,289.978759765625,0.3151559233665466
1587,15.909934918209078,0.0,30.0,418.623779296875,0.6114908456802368
1595,150.2532422905947,0.0,20.0,331.55426025390625,0.4943917691707611
1602,2.000371551040553,0.0,35.0,286.97625732421875,0.4645297825336456
1605,62.584432605685976,0.0,6.0,345.5760192871094,0.6177130937576294
1613,2.000068198969218,0.0,0.0,320.49151611328125,0.6571889519691467
1619,50.27075790180815,0.0,43.0,313.32049560546875,0.6148566603660583
1626,115.46416234708542,0.0,31.0,289.1542663574219,0.4328591227531433
1634,26.107652370925223,1.0,35.0,373.582763671875,0.5432522892951965
